date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2007-08-17,090430,,55214,57715,54814,54814,54814,239067,13530899000,,,,
2007-08-20,090430,,54814,57915,54814,57014,57014,147731,8384170000,,,,
2007-08-21,090430,,58215,58215,56314,57514,57514,80129,4579407000,,,,
2007-08-22,090430,,57915,58215,57514,58015,58015,81008,4685836000,,,,
2007-08-23,090430,,58115,59115,58115,58515,58515,92625,5430787810,,,,
2007-08-24,090430,,58515,59615,58115,59415,59415,197658,11688366000,,,,
2007-08-27,090430,,60415,61315,60015,60815,60815,144732,8809873000,,,,
2007-08-28,090430,,60015,61415,60015,61415,61415,30462,1844027000,,,,
2007-08-29,090430,,60015,64516,60015,63016,63016,281746,17120604000,,,,
2007-08-30,090430,,64516,65717,62816,63916,63916,84148,5379289000,,,,
2007-08-31,090430,,64616,66517,63716,66517,66517,198418,12916843000,,,,
2007-09-03,090430,,66617,66817,65517,65917,65917,25493,1682205000,,,,
2007-09-04,090430,,65917,67317,65917,67317,67317,123957,8263687000,,,,
2007-09-05,090430,,67317,67917,65717,67317,67317,80838,5414286200,,,,
2007-09-06,090430,,67517,67517,66117,66717,66717,15745,1052387000,,,,
2007-09-07,090430,,66717,67317,65917,67017,67017,51016,3417355000,,,,
2007-09-10,090430,,65917,66617,65517,66117,66117,24263,1606032000,,,,
2007-09-11,090430,,66917,67517,66117,66817,66817,34251,2293515000,,,,
2007-09-12,090430,,66917,67317,65717,66017,66017,10547,700683000,,,,
2007-09-13,090430,,66817,68917,66517,67617,67617,55015,3727401000,,,,
2007-09-14,090430,,68317,68317,67217,68317,68317,205836,13758064613,,,,
2007-09-17,090430,,68317,68617,67817,68017,68017,41569,2825930000,,,,
2007-09-18,090430,,68317,68317,67217,67517,67517,30712,2075894000,,,,
2007-09-19,090430,,67517,69818,67517,69818,69818,89496,6163164524,,,,
2007-09-20,090430,,69718,69718,68017,68617,68617,100723,6947713000,,,,
2007-09-21,090430,,68617,68617,67017,67317,67317,28642,1938691000,,,,
2007-09-27,090430,,67017,69818,66917,67517,67517,82848,5619707000,,,,
2007-09-28,090430,,67517,68717,67317,68317,68317,34061,2326063000,,,,
2007-10-01,090430,,67417,67917,66517,67217,67217,48787,3277426000,,,,
2007-10-02,090430,,67617,68017,66217,66217,66217,90516,6055961000,,,,
2007-10-04,090430,,66317,67017,62816,64016,64016,168636,10831878000,,,,
2007-10-05,090430,,63916,64016,63116,63516,63516,107462,6833802000,,,,
2007-10-08,090430,,63516,64316,61616,61716,61716,71821,4504843000,,,,
2007-10-09,090430,,62716,65617,62316,64916,64916,136554,8814266000,,,,
