ticker,signal_date,return_6m,return_12m_ex_1m,momentum_score,volatility_1y,max_drawdown_1y,low_volatility_score,name,available_date,fiscal_period,value_score,quality_score,composite_score,composite_weight_coverage,factor_scope
017800,2023-01-31,,,,,,,현대엘리베이터(주),2022-03-31,2021-12,0.1705149015147034,0.2119881590322511,0.19313667834245668,0.55,integrated_value_quality_momentum_low_volatility
017960,2023-01-31,,,,,,,(주)한국카본,2022-03-31,2021-12,0.136188173226766,0.2287716586652412,0.186688256193207,0.55,integrated_value_quality_momentum_low_volatility
010120,2023-01-31,,,,,,,LS일렉트릭(주),2022-03-31,2021-12,0.1966841760065208,0.1731598241894205,0.18385271137901152,0.55,integrated_value_quality_momentum_low_volatility
009970,2023-01-31,,,,,,,(주)영원무역홀딩스,2022-03-31,2021-12,0.1726102568770673,0.1884136989790278,0.18123031620540936,0.55,integrated_value_quality_momentum_low_volatility
042700,2023-01-31,,,,,,,한미반도체(주),2022-03-31,2021-12,-1.0631167864914504,1.2172918241083104,0.18074245565387362,0.55,integrated_value_quality_momentum_low_volatility
051910,2023-01-31,,,,,,,(주)엘지화학,2022-03-31,2021-12,-0.1683058338377377,0.4687634743990845,0.17918651610961983,0.55,integrated_value_quality_momentum_low_volatility
001040,2023-01-31,,,,,,,씨제이(주),2022-03-31,2021-12,0.1714805836294545,0.183094078611679,0.1778152172561224,0.55,integrated_value_quality_momentum_low_volatility
012450,2023-01-31,,,,,,,한화에어로스페이스(주),2022-03-31,2021-12,0.2314803857942632,0.132797692369605,0.177653462108086,0.55,integrated_value_quality_momentum_low_volatility
003030,2023-01-31,,,,,,,(주)세아제강지주,2022-03-31,2021-12,0.3002829764496609,0.0709538911790834,0.17519438448389132,0.55,integrated_value_quality_momentum_low_volatility
000880,2023-01-31,,,,,,,(주)한화,2022-03-31,2021-12,0.2958945210197823,0.0728489152765461,0.17423328152347164,0.55,integrated_value_quality_momentum_low_volatility
161890,2023-01-31,,,,,,,한국콜마(주),2022-03-31,2021-12,0.1552572113551261,0.1871055487081608,0.17262903172950866,0.55,integrated_value_quality_momentum_low_volatility
009540,2023-01-31,,,,,,,에이치디한국조선해양(주),2022-03-31,2021-12,0.2764932554545729,0.0756051860883261,0.16691794489116554,0.55,integrated_value_quality_momentum_low_volatility
097950,2023-01-31,,,,,,,씨제이제일제당(주),2022-03-31,2021-12,0.2055029510551654,0.1289853410714427,0.16376607288222572,0.55,integrated_value_quality_momentum_low_volatility
000120,2023-01-31,,,,,,,씨제이대한통운(주),2022-03-31,2021-12,0.2404928605733173,0.0968270335662028,0.1621296822058003,0.55,integrated_value_quality_momentum_low_volatility
021240,2023-01-31,,,,,,,코웨이(주),2022-03-31,2021-12,-0.3596218124370615,0.5919039131506648,0.1593922197016983,0.55,integrated_value_quality_momentum_low_volatility
001800,2023-01-31,,,,,,,(주)오리온홀딩스,2022-03-31,2021-12,0.2351756814580179,0.0925109957275091,0.1573585801504676,0.55,integrated_value_quality_momentum_low_volatility
005380,2023-01-31,,,,,,,현대자동차(주),2022-03-31,2021-12,-0.3222085310258397,0.5471379918280348,0.15198048143991,0.55,integrated_value_quality_momentum_low_volatility
026960,2023-01-31,,,,,,,(주)동서,2022-03-31,2021-12,-0.1162629690505314,0.3639612448414503,0.14567751125418588,0.55,integrated_value_quality_momentum_low_volatility
402340,2023-01-31,,,,,,,에스케이스퀘어(주),2022-03-31,2021-12,0.2148938894456925,0.0711666913785462,0.13649723595452176,0.55,integrated_value_quality_momentum_low_volatility
251270,2023-01-31,,,,,,,넷마블(주),2022-03-31,2021-12,-0.0167511618215748,0.2566239702089736,0.1323625465587243,0.55,integrated_value_quality_momentum_low_volatility
022100,2023-01-31,,,,,,,(주)포스코디엑스,2022-03-31,2021-12,0.3067038956468942,-0.0357161646897029,0.1199293172814776,0.55,integrated_value_quality_momentum_low_volatility
002380,2023-01-31,,,,,,,(주)케이씨씨,2022-03-31,2021-12,0.2137095976137374,0.0326345699084273,0.11494140068356826,0.55,integrated_value_quality_momentum_low_volatility
079550,2023-01-31,,,,,,,엘아이지넥스원(주),2022-03-31,2021-12,0.0425605551528263,0.1075383836405121,0.07800300705520037,0.55,integrated_value_quality_momentum_low_volatility
018260,2023-01-31,,,,,,,삼성에스디에스(주),2022-03-31,2021-12,-0.1966130273301456,0.2980772038744578,0.07321800787236533,0.55,integrated_value_quality_momentum_low_volatility
282330,2023-01-31,,,,,,,(주)비지에프리테일,2022-03-31,2021-12,-0.3431272734643223,0.4146012100798129,0.07017917210520595,0.55,integrated_value_quality_momentum_low_volatility
161390,2023-01-31,,,,,,,한국타이어앤테크놀로지(주),2022-03-31,2021-12,0.0560866461430688,0.077745867535381,0.06790076690251182,0.55,integrated_value_quality_momentum_low_volatility
241560,2023-01-31,,,,,,,두산밥캣(주),2022-03-31,2021-12,0.2231480887013954,-0.0957660214445573,0.049194937712693926,0.55,integrated_value_quality_momentum_low_volatility
002790,2023-01-31,,,,,,,(주)아모레퍼시픽홀딩스,2022-03-31,2021-12,-0.1859296456715586,0.2366079738102133,0.04454541950031699,0.55,integrated_value_quality_momentum_low_volatility
090430,2023-01-31,,,,,,,(주)아모레퍼시픽,2022-03-31,2021-12,-0.3142434347044789,0.3375146737676761,0.04126098809851471,0.55,integrated_value_quality_momentum_low_volatility
298050,2023-01-31,,,,,,,에이치에스효성첨단소재(주),2022-03-31,2021-12,-0.7955646177982433,0.7096371539065791,0.025454530404387082,0.55,integrated_value_quality_momentum_low_volatility
000100,2023-01-31,,,,,,,(주)유한양행,2022-03-31,2021-12,-0.2792386765005702,0.2716236462263918,0.02123168135049997,0.55,integrated_value_quality_momentum_low_volatility
005940,2023-01-31,,,,,,,엔에이치투자증권(주),2022-03-31,2021-12,0.5198838171927461,-0.4179489089220111,0.008338693857423998,0.55,integrated_value_quality_momentum_low_volatility
081660,2023-01-31,,,,,,,(주)미스토홀딩스,2022-03-31,2021-12,-0.7579513402648748,0.6253283402311727,-0.0034351509033943416,0.55,integrated_value_quality_momentum_low_volatility
047050,2023-01-31,,,,,,,(주)포스코인터내셔널,2022-03-31,2021-12,0.3682007880376303,-0.3156295511795943,-0.004797578808128568,0.55,integrated_value_quality_momentum_low_volatility
004990,2023-01-31,,,,,,,롯데지주(주),2022-03-31,2021-12,0.4243870319360244,-0.3624809238415341,-0.004813671215371139,0.55,integrated_value_quality_momentum_low_volatility
138040,2023-01-31,,,,,,,(주)메리츠금융지주,2022-03-31,2021-12,-0.5591708788331125,0.4364213382256146,-0.016120578619261364,0.55,integrated_value_quality_momentum_low_volatility
185750,2023-01-31,,,,,,,(주)종근당,2022-03-31,2021-12,-0.1889598921980877,0.1245563919095312,-0.017951009957568306,0.55,integrated_value_quality_momentum_low_volatility
029780,2023-01-31,,,,,,,삼성카드(주),2022-03-31,2021-12,0.5425370610425241,-0.4913036495077674,-0.021376053803089427,0.55,integrated_value_quality_momentum_low_volatility
192820,2023-01-31,,,,,,,코스맥스(주),2022-03-31,2021-12,-0.3754721579100453,0.2674753136571729,-0.024773537055199003,0.55,integrated_value_quality_momentum_low_volatility
000810,2023-01-31,,,,,,,삼성화재해상보험(주),2022-03-31,2021-12,0.4684670224649371,-0.4405253412298516,-0.027346994095856704,0.55,integrated_value_quality_momentum_low_volatility
030000,2023-01-31,,,,,,,(주)제일기획,2022-03-31,2021-12,-0.5321024879461765,0.372401102461582,-0.03873689317830825,0.55,integrated_value_quality_momentum_low_volatility
015760,2023-01-31,,,,,,,한국전력공사(주),2022-03-31,2021-12,0.5241199908147289,-0.5135064603678695,-0.041858073466688406,0.55,integrated_value_quality_momentum_low_volatility
051900,2023-01-31,,,,,,,(주)엘지생활건강,2022-03-31,2021-12,-0.871892591279614,0.6310564970129876,-0.052102179483649536,0.55,integrated_value_quality_momentum_low_volatility
005830,2023-01-31,,,,,,,디비손해보험(주),2022-03-31,2021-12,0.520078336645444,-0.5380203039450914,-0.05706637640393893,0.55,integrated_value_quality_momentum_low_volatility
014820,2023-01-31,,,,,,,동원시스템즈(주),2022-03-31,2021-12,-0.2875465425998056,0.1080498861280905,-0.07176667238458956,0.55,integrated_value_quality_momentum_low_volatility
047810,2023-01-31,,,,,,,한국항공우주산업(주),2022-03-31,2021-12,-0.7560893251938023,0.4937173806239588,-0.0743765765659326,0.55,integrated_value_quality_momentum_low_volatility
003090,2023-01-31,,,,,,,(주)대웅,2022-03-31,2021-12,-0.9025146643211704,0.6066066117650009,-0.07935760463780427,0.55,integrated_value_quality_momentum_low_volatility
032830,2023-01-31,,,,,,,삼성생명보험(주),2022-03-31,2021-12,0.5056906216174077,-0.5669964526836437,-0.07941141891043849,0.55,integrated_value_quality_momentum_low_volatility
088350,2023-01-31,,,,,,,한화생명보험(주),2022-03-31,2021-12,0.608720930548893,-0.6575377920520867,-0.08196564541527773,0.55,integrated_value_quality_momentum_low_volatility
064350,2023-01-31,,,,,,,현대로템(주),2022-03-31,2021-12,-0.0256253758784265,-0.1312713991910969,-0.08325047950351944,0.55,integrated_value_quality_momentum_low_volatility
373220,2023-01-31,,,,,,,(주)엘지에너지솔루션,2022-03-31,2021-12,0.3067038956468942,-0.4114835799469251,-0.08503472740427993,0.55,integrated_value_quality_momentum_low_volatility
014680,2023-01-31,,,,,,,(주)한솔케미칼,2022-03-31,2021-12,-1.1430410591054068,0.7535776701773754,-0.10852175222388924,0.55,integrated_value_quality_momentum_low_volatility
071970,2023-01-31,,,,,,,에이치디현대마린엔진(주),2022-03-31,2021-12,0.3503323911862678,-0.502450265527139,-0.11482178520286318,0.55,integrated_value_quality_momentum_low_volatility
028050,2023-01-31,,,,,,,삼성이앤에이(주),2022-03-31,2021-12,-0.4176666939963093,0.1209593345293407,-0.12387067843686383,0.55,integrated_value_quality_momentum_low_volatility
259960,2023-01-31,,,,,,,(주)크래프톤,2022-03-31,2021-12,-1.038642937206854,0.6241583827313668,-0.13166039905873353,0.55,integrated_value_quality_momentum_low_volatility
307950,2023-01-31,,,,,,,현대오토에버(주),2022-03-31,2021-12,-0.609416207865467,0.2519491818229327,-0.13958054076270351,0.55,integrated_value_quality_momentum_low_volatility
180640,2023-01-31,,,,,,,(주)한진칼,2022-03-31,2021-12,-0.0052222987668067,-0.2668309586668133,-0.14791793143953755,0.55,integrated_value_quality_momentum_low_volatility
036460,2023-01-31,,,,,,,한국가스공사(주),2022-03-31,2021-12,0.5473798400482467,-0.734904807715506,-0.15204814964107294,0.55,integrated_value_quality_momentum_low_volatility
034230,2023-01-31,,,,,,,(주)파라다이스,2022-03-31,2021-12,0.3067038956468942,-0.5347592870901094,-0.1522760222096532,0.55,integrated_value_quality_momentum_low_volatility
069620,2023-01-31,,,,,,,(주)대웅제약,2022-03-31,2021-12,-0.4727387926154669,0.110385943592799,-0.1546707546836855,0.55,integrated_value_quality_momentum_low_volatility
267260,2023-01-31,,,,,,,에이치디현대일렉트릭(주),2022-03-31,2021-12,0.2878104963015149,-0.5630408549048793,-0.17629024072015467,0.55,integrated_value_quality_momentum_low_volatility
008730,2023-01-31,,,,,,,율촌화학(주),2022-03-31,2021-12,-0.7084343554483403,0.2520800551474194,-0.18451740421428958,0.55,integrated_value_quality_momentum_low_volatility
036570,2023-01-31,,,,,,,(주)엔씨소프트,2022-03-31,2021-12,-0.9019483868585458,0.4086912066147974,-0.18705406314581313,0.55,integrated_value_quality_momentum_low_volatility
009240,2023-01-31,,,,,,,(주)한샘,2022-03-31,2021-12,-0.6846506706728251,0.1722581421385618,-0.2172458636847959,0.55,integrated_value_quality_momentum_low_volatility
001450,2023-01-31,,,,,,,현대해상화재보험(주),2022-03-31,2021-12,0.5783129632445676,-0.89699238615139,-0.22639904551686374,0.55,integrated_value_quality_momentum_low_volatility
271560,2023-01-31,,,,,,,(주)오리온,2022-03-31,2021-12,-1.0044074434949863,0.4171070254133873,-0.2290359149995098,0.55,integrated_value_quality_momentum_low_volatility
066970,2023-01-31,,,,,,,(주)엘앤에프,2022-03-31,2021-12,0.3067038956468942,-0.7510819982946231,-0.2702702283212061,0.55,integrated_value_quality_momentum_low_volatility
329180,2023-01-31,,,,,,,에이치디현대중공업(주),2022-03-31,2021-12,0.1702954278228233,-0.6917070011812524,-0.29988771527030883,0.55,integrated_value_quality_momentum_low_volatility
073240,2023-01-31,,,,,,,금호타이어(주),2022-03-31,2021-12,0.0296820604252961,-0.580776601185182,-0.3032953913622374,0.55,integrated_value_quality_momentum_low_volatility
016360,2023-01-31,,,,,,,삼성증권(주),2022-03-31,2021-12,0.5064043910885732,-0.9890819889938268,-0.3093154525927359,0.55,integrated_value_quality_momentum_low_volatility
039490,2023-01-31,,,,,,,키움증권(주),2022-03-31,2021-12,0.466791203078361,-0.958864763185462,-0.31083932397463326,0.55,integrated_value_quality_momentum_low_volatility
