ticker,name,analyst_sector,valuation_family,sector_source,confidence,kospi200_sector,dart_sector,dart_industry_code,ts2000_sector,override_sector,override_note
001440,Taihan Cable & Solution,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
003490,Korean Air,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
003670,POSCO Future M,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
006260,LS,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,Financials,64992,,,
009540,HD KSOE,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
010120,LS Electric,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
010140,Samsung Heavy Industries,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
011200,HMM,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
012450,Hanwha Aerospace,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
012750,S-1,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
017800,Hyundai Elevator,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
028670,Pan Ocean,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
034020,Doosan Enerbility,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
042660,Hanwha Ocean,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
047050,POSCO International,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
047810,Korea Aerospace,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
062040,Sanil Electric,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
064350,Hyundai Rotem,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
066970,L&F,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
071970,HD Hyundai Marine Engine,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
079550,LIG Nex1,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
082740,Hanwha Engine,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
086280,Hyundai Glovis,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
112610,CS Wind,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
241560,Doosan Bobcat,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
267260,HD Hyundai Electric,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
267270,HD Construction Equipment,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
272210,Hanwha Systems,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
298040,Hyosung Heavy Industries,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
329180,HD Hyundai Heavy Industries,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
361610,SK IE Technology,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
373220,LG Energy Solution,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
443060,HD Hyundai Marine Solution,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
450080,Ecopro Materials,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Industrials,,,,,
454910,Doosan Robotics,Industrials,ev_ebitda_order_cycle,kospi200_constituent,0.85,Heavy Industries,,,,,
000670,Young Poong,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
001430,Seah Besteel,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
002030,Asia Holdings,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
003030,Seah Steel Holdings,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
004020,Hyundai Steel,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
005490,POSCO,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
008730,Youlchon Chemical,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
010130,Korea Zinc,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
014820,Dongwon Systems,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,Energy & Chemicals,222,,,
103140,Poongsan,Packaging & Materials,per_pbr_spread,kospi200_constituent,0.85,Steels & Materials,,,,,
000020,동화약품(주),Unclassified,common_equity,fallback,0.4,,,,,,
000030,(주)우리은행,Unclassified,common_equity,fallback,0.4,,,,,,
000040,케이알모터스(주),Unclassified,common_equity,fallback,0.4,,,,,,
000050,(주)경방,Unclassified,common_equity,fallback,0.4,,,,,,
000060,메리츠화재해상보험(주),Unclassified,common_equity,fallback,0.4,,,,,,
000070,(주)삼양홀딩스,Unclassified,common_equity,fallback,0.4,,,,,,
000140,하이트진로홀딩스(주),Unclassified,common_equity,fallback,0.4,,,,,,
000180,성창기업지주(주),Unclassified,common_equity,fallback,0.4,,,,,,
000220,(주)유유제약,Unclassified,common_equity,fallback,0.4,,,,,,
