ticker,company_name,years,first_year,last_year,avg_labor_share,avg_payout_share,avg_dividend_share,avg_buyback_share,avg_value_added_trn,latest_labor_share,latest_payout_share,shareholder_over_labor_tilt,payout_to_labor_ratio
018670,에스케이가스(주),14,2012,2025,0.16866307432297295,0.0912314124039709,0.09089208355765933,0.0003393288463115286,0.3677770642857143,0.2055295312099126,0.1469687974276047,-0.07743166191900205,0.5409092225443006
008060,(주)대덕,14,2010,2024,0.357268657895335,0.27954239035912926,0.25077967703693665,0.0004717125378329928,0.14401170071428568,0.1916546643137139,0.9416237548396335,-0.07772626753620576,0.7824430836052337
068400,에스케이렌터카(주),10,2013,2022,0.08536306307129524,0.00413137236580068,0.00101427306012207,0.00311709930567861,0.375023981,0.0947538776234222,0.0101427306012207,-0.08123169070549456,0.04839765839178191
111770,(주)영원무역,16,2010,2025,0.23790849906839337,0.15120119134114726,0.1345363989821557,0.016664792358991563,0.16935271625,0.1256841575702255,0.1879679660934554,-0.08670730772724611,0.6355434628574589
008930,한미사이언스(주),13,2013,2025,0.408867815664695,0.3165676122320358,0.2882624721976522,0.028305140034383534,0.05403908384615383,0.4337663066549973,0.1715408370039219,-0.09230020343265921,0.7742541723842775
027410,(주)비지에프,13,2012,2025,0.3037020852956166,0.20941143669808213,0.19597757063862759,0.004076575223251903,0.23040018461538464,0.1889048945659391,0.2989132262736125,-0.09429064859753447,0.6895291367336048
037710,(주)광주신세계,16,2010,2025,0.18756030529879314,0.08921345221723204,0.08130782475317205,0.007905627464059994,0.08320160124999999,0.180399107929764,0.1949376334623034,-0.0983468530815611,0.4756520953360065
016710,대성홀딩스(주),16,2010,2025,0.33244865758489245,0.22468931076072843,0.22333019663582446,0.0013591141249039687,0.04074192999999998,0.7827389620179257,0.3627817501296279,-0.10775934682416402,0.6758616876151857
227840,현대코퍼레이션홀딩스(주),10,2016,2025,0.31137431622785755,0.2027794735660406,0.16151097301564124,0.04126850055039933,0.03328831,0.2065910052821267,0.0822402892211426,-0.10859484266181696,0.6512402051094368
005490,포스코홀딩스(주),16,2010,2025,0.22287570247695587,0.10941799256728567,0.09360236142593084,0.015815631141354813,5.229282946875,0.1403699724197031,0.2125103025096274,-0.1134577099096702,0.49093728634954675
